,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
68,,쓰레기 머학생, 수레기,"일상, 학원, 대학생",다음 웹툰,다소 쓰레기 같은 대학생 작가의 일상을 다룬 만화. 수학을 싫어합니다.,0.0,7.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/7ca2a8ee87adc700336244c1a0aa3955305cb3a3,http://webtoon.daum.net/webtoon/view/TrashStudent
69,,불합격인간, Sepia,"드라마, 가족, 백수",다음 웹툰,"불합격 인간인 나 자신도, 언젠간 바뀔 수 있는 걸까?",0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/f7b4d0b26ac9f8b820b0567479964a7ea5072503,http://webtoon.daum.net/webtoon/view/rejectedperson
70,,감방에서 남자주인공을 만났습니다, 문시현/피티,"순정, 첫사랑, 썸",다음 웹툰,눈 떠보니 책 속 감방이다? 남주는 짐승?!,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/27f7100b358d10155a078038e063f7e77481db31,http://webtoon.daum.net/webtoon/view/meetcell
71,,유부녀 킬러, YOON/검둥,"드라마, 킬러, 여성 능력자",다음 웹툰,"육아휴직을 마치고 회사로 돌아간 5년차 유부녀, 유보나의 비밀스러운 이중생활",0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/d7e344c4f04008b1e1c6e8fd7219cd95dc772db5,http://webtoon.daum.net/webtoon/view/marriedkiller
72,,액괴, 서강용,"학원, 액션, 일진",다음 웹툰,"교내 괴롭힘으로 황색망사점균을 먹게 된 수와 진오, 이후 둘은 알 수 없는 신체 변화를 겪고 액체 괴물과 같은 능력을 얻게 되는데..",0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/71440019d590859a0adc713e918c290c2fbb12b7,http://webtoon.daum.net/webtoon/view/liquidmonster
73,,바리공주, 김나임,"드라마, 판타지, 신화",다음 웹툰,무당이 되기 위한 소녀와 아내를 찾아 떠도는 남자의 조선시대 귀신 이야기,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/a6c59cfa2a0241ab6b63d35ecc04d1f50d2ca4eb,http://webtoon.daum.net/webtoon/view/princessbari
74,,내일도 출근!, 맥퀸스튜디오,"순정, 드라마, 연애",다음 웹툰,회사 최악의 까칠남 VS 결혼은 싫다며 도망간 전남친. 둘 중 누구를 선택해야지?!,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/896f89a22adf452cbf21179fd08439330368c728,http://webtoon.daum.net/webtoon/view/gotowork
75,,현세이의 보이는 라디오, 이제환/부족,"드라마, 일상, 질병",다음 웹툰,스트리머 현세이의 일상 소통 이야기,0.0,9.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/7a273270d7ffec14030e512a4800a81625ff802b,http://webtoon.daum.net/webtoon/view/sayradio
76,,집행자여, 종수,"스릴러, 드라마, 현대사",다음 웹툰,통금시대. 어둠 속에서 고삐 풀린 그들,0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/d227e9eb59e60ca3dc442bda4d8f2feb73f3d19b,http://webtoon.daum.net/webtoon/view/RTX
77,,러브 스트리밍, 마영신/권다희,"드라마, 스릴러, 돈",다음 웹툰,누가 요즘 다운받니? 모든 게 실시간이지. 사랑도 돈도 인생 전부 다.,19.0,8.9,1.0,0.0,http://t1.daumcdn.net/webtoon/op/73bab94b897317cddea4f3001fa8901654392bd5,http://webtoon.daum.net/webtoon/view/lovestreaming
78,,"신성한, 이혼", 강태경,"드라마, 지식, 결혼생활",다음 웹툰,"결혼은 아름답고 이혼은 치열하다. 누구나 지는 싸움, 이혼 소송.",0.0,9.8,1.0,0.0,http://t1.daumcdn.net/webtoon/op/0b0eb150bbf850b0ecee52ff62fcfa32e457d224,http://webtoon.daum.net/webtoon/view/sacreddivorce
79,,스타의 학교생활, 올챙구리,"학원, 드라마, 학교생활",다음 웹툰,"10대 스타들의 리얼 관찰 예능쇼, 그런데 국민 비호감 출연?!",0.0,9.7,1.0,0.0,http://t1.daumcdn.net/webtoon/op/e4aca99f1c57e318afc87fef4916b0861200805c,http://webtoon.daum.net/webtoon/view/starinschool
