,id,title,author,genre,platform,story,age,rate,free,complete,thumbnail,website
50,,천광명월, 석빈,"무협, 가족, 기생",다음 웹툰,강자만이 살아남는 무림전국시대. 전쟁노예 천광과 중원제일의 기생 명월의 무림 생존기,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/827557b9e58b7cdf5879514f5e8dcd9fd45dd858,http://webtoon.daum.net//webtoon/view/favorite
51,,유부녀 킬러, YOON/검둥,"드라마, 킬러, 여성 능력자",다음 웹툰,"육아휴직을 마치고 회사로 돌아간 5년차 유부녀, 유보나의 비밀스러운 이중생활",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/d7e344c4f04008b1e1c6e8fd7219cd95dc772db5,http://webtoon.daum.net//webtoon/view/favorite
52,,그 아해, 권계림,"미스터리, 스릴러, 초능력",다음 웹툰,"의사 행세를 하는 한 정신과 환자가 나타난 뒤로, '나'의 주변에서 자꾸만 이상한 일이 벌어진다. 그의 정체는 무엇일까.",0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/c7dc139a363e39368857d2149035e4a12f9caff9,http://webtoon.daum.net//webtoon/view/favorite
53,,씨방것들, 오청,"드라마, 순정, 현실반영",다음 웹툰,"관종 패밀리의 막내, 첫사랑은 연예인! 그래도 평범하게 살고 싶어!",0,9.7,1,0,http://t1.daumcdn.net/webtoon/op/d01513bcf101eed90fd1cb5ba40d939d87adeb87,http://webtoon.daum.net//webtoon/view/favorite
54,,플러스 마이너스 제로, 하민석/마영신/이현중,"스릴러, 드라마, 재난",다음 웹툰,지진으로 학교가 땅속에 묻혔다. 누구의 짓이지?,0,9.8,1,0,http://t1.daumcdn.net/webtoon/op/0a6c8f29814d5c98f9215223dc30121fd47d9b4e,http://webtoon.daum.net//webtoon/view/favorite
55,,너를 기다리는 날, 복복,"순정, 판타지, 사랑",다음 웹툰,10년 전 99일 간 실종되었던 하윤은 자신이 실종되었던 장소에서 기묘한 또래 남자아이를 만나게 된다.,0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/c2ab7cb1b3a808a9a900eff39bfecff8a4199731,http://webtoon.daum.net//webtoon/view/favorite
56,,화폐개혁, 윤필/임정호,"드라마, 스릴러, 돈",다음 웹툰,"최하층 밑바닥 삶 유일한, 그를 찾아온 1조 원의 상속 기회와 화.폐.개.혁!",0,9,1,0,http://t1.daumcdn.net/webtoon/op/ad075f7e41d13de021aa7d608006b2251c4ea1c2,http://webtoon.daum.net//webtoon/view/favorite
57,,금수친구들, 짤태식,"코믹, 일상, 동물",다음 웹툰,가난한 나무꾼과 사고뭉치 동물들이 만났다! 조선시대 집사의 처절하고 유쾌한 집사 라이프,0,9.2,1,0,http://t1.daumcdn.net/webtoon/op/c1ccee1b77367a10e58682aa3ca172ea30105f76,http://webtoon.daum.net//webtoon/view/favorite
58,,방구석 여포, 키미하이,"학원, 액션, 능력자",다음 웹툰,방구석에서만큼은 천하무쌍! 찐따고딩 여포의 숨겨진 능력이 깨어난다,0,9.2,1,0,http://t1.daumcdn.net/webtoon/op/7f8030a13c4bd194b7a438507bfe38af1ff5fe51,http://webtoon.daum.net//webtoon/view/favorite
59,,프레너미, 돌석,"스포츠, 드라마, 테니스",다음 웹툰,"거만한 천재 소년과 심약한 은둔 고수와의 만남, 재능과 노력만으론 최고가 될 수 없다!",0,9.9,1,0,http://t1.daumcdn.net/webtoon/op/f85653e3762639b0d3876855f00afff6bf2ab7cc,http://webtoon.daum.net//webtoon/view/favorite
